Input_angles1, Input_angles2, Calc_angles1,Calc_angles2, Voltage1,Voltage2,Voltage3,Voltage4,Calc_angles
0,0,0,0,0,0,0,0,                                                                                                                                 29,-30,55.00,55.00,49.00,46.00,7.77,-1.65,


-15,-23,53.00,53.00,52.00,52.00,1.08,0.00,

-14,-23,53.00,53.00,52.00,52.00,1.08,0.00,

-13,-23,46.00,52.00,51.00,53.00,-3.30,-2.22,

-12,-23,52.00,52.00,51.00,52.00,0.55,0.55,

-11,-23,53.00,52.00,51.00,52.00,1.09,1.09,

-10,-23,52.00,52.00,52.00,51.00,0.55,-0.55,

-9,-23,53.00,51.00,51.00,51.00,1.10,1.10,

-8,-23,44.00,52.00,50.00,51.00,-2.83,-3.93,

-7,-23,53.00,53.00,52.00,52.00,1.08,0.00,

-6,-23,53.00,52.00,52.00,52.00,0.55,0.55,

-5,-23,53.00,53.00,52.00,52.00,1.08,0.00,

-4,-23,55.00,51.00,50.00,51.00,2.70,2.70,

-3,-23,56.00,50.00,51.00,52.00,1.62,3.71,

-2,-23,53.00,52.00,51.00,52.00,1.09,1.09,

-1,-23,52.00,52.00,52.00,52.00,0.00,0.00,

0,-23,52.00,52.00,50.00,51.00,1.65,0.56,

1,-23,43.00,53.00,48.00,53.00,-2.83,-2.83,

2,-23,53.00,52.00,52.00,52.00,0.55,0.55,

3,-23,52.00,52.00,52.00,52.00,0.00,0.00,

4,-23,52.00,52.00,51.00,52.00,0.55,0.55,

5,-23,52.00,53.00,52.00,52.00,0.55,-0.55,

6,-23,48.00,53.00,53.00,52.00,-2.18,-3.24,

7,-23,52.00,52.00,52.00,52.00,0.00,0.00,

8,-23,53.00,52.00,51.00,52.00,1.09,1.09,

9,-23,52.00,51.00,51.00,51.00,0.56,0.56,

10,-23,52.00,51.00,51.00,52.00,0.00,1.10,

11,-23,53.00,52.00,53.00,52.00,0.00,0.00,

12,-23,52.00,53.00,52.00,52.00,0.55,-0.55,

13,-23,53.00,52.00,52.00,52.00,0.55,0.55,

14,-23,53.00,53.00,52.00,52.00,1.08,0.00,

15,-23,54.00,53.00,52.00,52.00,1.61,0.54,

16,-23,55.00,51.00,50.00,53.00,1.62,3.71,

17,-23,52.00,52.00,51.00,52.00,0.55,0.55,

18,-23,52.00,52.00,51.00,52.00,0.55,0.55,

19,-23,52.00,52.00,51.00,51.00,1.10,0.00,

20,-23,52.00,52.00,51.00,53.00,0.00,1.09,

21,-23,56.00,52.00,50.00,52.00,3.18,3.18,

22,-23,53.00,52.00,52.00,52.00,0.55,0.55,

23,-23,52.00,53.00,52.00,52.00,0.55,-0.55,

24,-23,53.00,53.00,52.00,53.00,0.54,0.54,

25,-23,48.00,52.00,53.00,50.00,-1.67,-3.81,

26,-23,49.00,52.00,53.00,52.00,-2.18,-2.18,

27,-23,52.00,53.00,51.00,52.00,1.09,0.00,

28,-23,52.00,52.00,52.00,52.00,0.00,0.00,

29,-23,50.00,52.00,51.00,52.00,-0.56,-0.56,

29,-22,45.00,50.00,50.00,52.00,-3.93,-1.72,

28,-22,49.00,54.00,51.00,53.00,-0.55,-1.64,

27,-22,52.00,52.00,52.00,52.00,0.00,0.00,

26,-22,53.00,53.00,52.00,52.00,1.08,0.00,

25,-22,53.00,53.00,52.00,53.00,0.54,0.54,

24,-22,54.00,50.00,53.00,50.00,0.55,0.55,

23,-22,56.00,51.00,53.00,50.00,2.14,1.08,

22,-22,52.00,52.00,51.00,52.00,0.55,0.55,

21,-22,52.00,52.00,51.00,52.00,0.55,0.55,

20,-22,53.00,51.00,51.00,51.00,1.10,1.10,

19,-22,51.00,51.00,49.00,51.00,1.12,1.12,

18,-22,55.00,53.00,52.00,74.00,-8.13,10.54,

17,-22,53.00,52.00,52.00,52.00,0.55,0.55,

16,-22,52.00,53.00,52.00,52.00,0.55,-0.55,

15,-22,53.00,53.00,52.00,53.00,0.54,0.54,

14,-22,44.00,51.00,51.00,53.00,-4.95,-2.81,

13,-22,52.00,52.00,51.00,52.00,0.55,0.55,

12,-22,53.00,52.00,52.00,52.00,0.55,0.55,

11,-22,52.00,52.00,51.00,51.00,1.10,0.00,

10,-22,52.00,51.00,52.00,51.00,0.00,0.00,

9,-22,46.00,52.00,50.00,52.00,-2.25,-2.25,

8,-22,52.00,52.00,52.00,52.00,0.00,0.00,

7,-22,53.00,53.00,52.00,52.00,1.08,0.00,

6,-22,53.00,53.00,52.00,52.00,1.08,0.00,

5,-22,52.00,52.00,52.00,52.00,0.00,0.00,

4,-22,56.00,54.00,53.00,53.00,2.08,1.05,

3,-22,53.00,53.00,50.00,52.00,2.16,1.09,

2,-22,52.00,52.00,52.00,52.00,0.00,0.00,

1,-22,52.00,52.00,51.00,52.00,0.55,0.55,

0,-22,51.00,52.00,51.00,51.00,0.56,-0.56,

-1,-22,54.00,52.00,51.00,52.00,1.62,1.62,

-2,-22,54.00,53.00,52.00,52.00,1.61,0.54,

-3,-22,52.00,52.00,51.00,52.00,0.55,0.55,

-4,-22,53.00,53.00,52.00,52.00,1.08,0.00,

-5,-22,53.00,52.00,52.00,52.00,0.55,0.55,

-6,-22,50.00,50.00,52.00,53.00,-2.73,0.56,

-7,-22,52.00,52.00,51.00,52.00,0.55,0.55,

-8,-22,52.00,52.00,52.00,52.00,0.00,0.00,

-9,-22,51.00,52.00,51.00,52.00,0.00,0.00,

-10,-22,51.00,52.00,50.00,51.00,1.11,0.00,

-11,-22,50.00,53.00,50.00,50.00,1.67,-1.67,

-12,-22,53.00,52.00,51.00,52.00,1.09,1.09,

-13,-22,52.00,52.00,51.00,52.00,0.55,0.55,

-14,-22,52.00,53.00,52.00,52.00,0.55,-0.55,

-15,-22,53.00,63.00,52.00,51.00,6.39,-5.46,

-16,-22,43.00,52.00,51.00,51.00,-3.93,-4.99,

-17,-22,51.00,52.00,51.00,52.00,0.00,0.00,

-18,-22,52.00,52.00,51.00,51.00,1.10,0.00,

-19,-22,50.00,51.00,50.00,52.00,-0.56,0.56,

-20,-22,45.00,52.00,51.00,51.00,-2.81,-3.89,

-21,-22,44.00,50.00,50.00,50.00,-3.43,-3.43,

-22,-22,52.00,52.00,52.00,52.00,0.00,0.00,

-23,-22,52.00,52.00,51.00,52.00,0.55,0.55,

-24,-22,52.00,52.00,52.00,52.00,0.00,0.00,

-25,-22,48.00,51.00,53.00,53.00,-3.78,-1.65,

-26,-22,49.00,53.00,50.00,52.00,0.00,-1.11,

-27,-22,52.00,52.00,51.00,52.00,0.55,0.55,

-28,-22,52.00,52.00,51.00,51.00,1.10,0.00,

-29,-22,57.00,51.00,51.00,52.00,2.65,3.67,

-30,-22,54.00,54.00,49.00,50.00,4.76,0.55,

-30,-21,56.00,55.00,52.00,52.00,3.61,0.53,

-29,-21,52.00,52.00,51.00,52.00,0.55,0.55,

-28,-21,53.00,52.00,52.00,53.00,0.00,1.08,

-27,-21,52.00,52.00,52.00,53.00,-0.55,0.55,

-26,-21,56.00,53.00,51.00,52.00,3.15,2.12,

-25,-21,52.00,52.00,52.00,52.00,0.00,0.00,

-24,-21,52.00,52.00,51.00,52.00,0.55,0.55,

-23,-21,52.00,51.00,50.00,51.00,1.11,1.11,

-22,-21,53.00,52.00,49.00,52.00,2.18,2.18,

-21,-21,51.00,51.00,52.00,53.00,-1.64,0.55,

-20,-21,52.00,52.00,51.00,52.00,0.55,0.55,

-19,-21,53.00,52.00,52.00,52.00,0.55,0.55,

-18,-21,54.00,53.00,52.00,52.00,1.61,0.54,

-17,-21,53.00,52.00,52.00,50.00,1.64,-0.55,

-16,-21,53.00,52.00,52.00,52.00,0.55,0.55,

-15,-21,52.00,52.00,51.00,52.00,0.55,0.55,

-14,-21,50.00,50.00,50.00,51.00,-0.57,0.57,

-13,-21,50.00,50.00,52.00,50.00,-1.12,-1.12,

-12,-21,52.00,54.00,51.00,52.00,1.62,-0.55,

-11,-21,53.00,52.00,51.00,52.00,1.09,1.09,

-10,-21,52.00,52.00,52.00,52.00,0.00,0.00,

-9,-21,53.00,52.00,52.00,52.00,0.55,0.55,

-8,-21,41.00,51.00,52.00,53.00,-7.06,-4.99,

-7,-21,52.00,52.00,52.00,51.00,0.55,-0.55,

-6,-21,52.00,52.00,51.00,51.00,1.10,0.00,

-5,-21,52.00,51.00,51.00,51.00,0.56,0.56,

-4,-21,51.00,52.00,50.00,51.00,1.11,0.00,

-3,-21,52.00,51.00,53.00,53.00,-1.62,0.55,

-2,-21,52.00,52.00,51.00,52.00,0.55,0.55,

-1,-21,52.00,52.00,51.00,52.00,0.55,0.55,

0,-21,53.00,52.00,52.00,52.00,0.55,0.55,

1,-21,53.00,53.00,52.00,51.00,1.62,-0.55,

2,-21,56.00,50.00,49.00,53.00,2.16,5.24,

3,-21,52.00,52.00,51.00,52.00,0.55,0.55,

4,-21,51.00,52.00,51.00,52.00,0.00,0.00,

5,-21,50.00,51.00,50.00,51.00,0.00,0.00,

6,-21,54.00,52.00,52.00,52.00,1.08,1.08,

7,-21,50.00,52.00,49.00,51.00,1.12,0.00,

8,-21,52.00,52.00,51.00,52.00,0.55,0.55,

9,-21,52.00,52.00,51.00,52.00,0.55,0.55,

10,-21,52.00,52.00,52.00,52.00,0.00,0.00,

11,-21,52.00,54.00,52.00,52.00,1.08,-1.08,

12,-21,51.00,51.00,51.00,51.00,0.00,0.00,

13,-21,51.00,52.00,51.00,52.00,0.00,0.00,

14,-21,52.00,52.00,51.00,51.00,1.10,0.00,

15,-21,52.00,52.00,51.00,51.00,1.10,0.00,

16,-21,48.00,51.00,52.00,52.00,-2.75,-1.67,

17,-21,52.00,52.00,51.00,52.00,0.55,0.55,

18,-21,53.00,52.00,51.00,52.00,1.09,1.09,

19,-21,53.00,52.00,52.00,52.00,0.55,0.55,

20,-21,53.00,52.00,52.00,53.00,0.00,1.08,

21,-21,46.00,52.00,53.00,53.00,-4.32,-3.27,

22,-21,58.00,51.00,51.00,51.00,3.67,3.67,

23,-21,52.00,52.00,51.00,51.00,1.10,0.00,

24,-21,51.00,51.00,51.00,51.00,0.00,0.00,

25,-21,47.00,52.00,50.00,50.00,-0.57,-2.81,

26,-21,47.00,53.00,50.00,50.00,0.00,-3.33,

27,-21,52.00,52.00,51.00,52.00,0.55,0.55,

28,-21,52.00,52.00,51.00,52.00,0.55,0.55,

29,-21,53.00,52.00,52.00,52.00,0.55,0.55,

29,-20,48.00,71.00,50.00,51.00,8.60,-10.30,

28,-20,52.00,52.00,51.00,51.00,1.10,0.00,

27,-20,52.00,52.00,51.00,52.00,0.55,0.55,

26,-20,51.00,51.00,50.00,51.00,0.56,0.56,

25,-20,52.00,52.00,50.00,52.00,1.10,1.10,

24,-20,49.00,52.00,50.00,50.00,0.57,-1.68,

23,-20,52.00,52.00,51.00,52.00,0.55,0.55,

22,-20,52.00,52.00,51.00,52.00,0.55,0.55,

21,-20,53.00,52.00,52.00,52.00,0.55,0.55,

20,-20,52.00,52.00,53.00,52.00,-0.55,-0.55,

19,-20,53.00,51.00,51.00,51.00,1.10,1.10,

18,-20,51.00,52.00,51.00,52.00,0.00,0.00,

17,-20,49.00,51.00,51.00,51.00,-1.12,-1.12,

16,-20,50.00,52.00,51.00,51.00,0.00,-1.11,

15,-20,53.00,51.00,51.00,51.00,1.10,1.10,

14,-20,52.00,52.00,32.00,52.00,10.89,10.89,

13,-20,53.00,52.00,51.00,52.00,1.09,1.09,

12,-20,53.00,52.00,52.00,52.00,0.55,0.55,

11,-20,53.00,51.00,51.00,50.00,1.65,0.56,

10,-20,48.00,53.00,49.00,53.00,-0.56,-0.56,

9,-20,52.00,52.00,51.00,51.00,1.10,0.00,

8,-20,51.00,52.00,51.00,51.00,0.56,-0.56,

7,-20,52.00,51.00,51.00,51.00,0.56,0.56,

6,-20,52.00,53.00,51.00,53.00,0.55,0.55,

5,-20,53.00,52.00,51.00,52.00,1.09,1.09,

4,-20,52.00,55.00,51.00,48.00,4.28,-3.24,

3,-20,53.00,52.00,51.00,52.00,1.09,1.09,

2,-20,53.00,51.00,51.00,53.00,0.00,2.16,

1,-20,50.00,52.00,52.00,51.00,-0.56,-1.65,

0,-20,51.00,51.00,51.00,51.00,0.00,0.00,

-1,-20,52.00,52.00,51.00,51.00,1.10,0.00,

-2,-20,52.00,51.00,51.00,50.00,1.11,0.00,

-3,-20,53.00,51.00,52.00,52.00,0.00,1.09,

-4,-20,53.00,53.00,52.00,51.00,1.62,-0.55,

-5,-20,52.00,52.00,51.00,51.00,1.10,0.00,

-6,-20,52.00,52.00,51.00,51.00,1.10,0.00,

-7,-20,52.00,52.00,51.00,52.00,0.55,0.55,

-8,-20,50.00,51.00,51.00,53.00,-1.65,0.56,

-9,-20,50.00,52.00,51.00,51.00,0.00,-1.11,

-10,-20,51.00,52.00,51.00,52.00,0.00,0.00,

-11,-20,52.00,51.00,51.00,51.00,0.56,0.56,

-12,-20,50.00,51.00,51.00,51.00,-0.56,-0.56,

-13,-20,43.00,52.00,49.00,51.00,-2.86,-3.96,

-14,-20,54.00,52.00,52.00,52.00,1.08,1.08,

-15,-20,52.00,52.00,51.00,52.00,0.55,0.55,

-16,-20,53.00,52.00,52.00,52.00,0.55,0.55,

-17,-20,63.00,52.00,52.00,53.00,4.97,5.91,

-18,-20,51.00,52.00,51.00,51.00,0.56,-0.56,

-19,-20,52.00,52.00,51.00,48.00,2.75,-1.67,

-20,-20,52.00,52.00,51.00,51.00,1.10,0.00,

-21,-20,52.00,51.00,50.00,51.00,1.11,1.11,

-22,-20,43.00,53.00,53.00,52.00,-4.90,-5.92,

-23,-20,55.00,51.00,52.00,52.00,1.08,2.14,

-24,-20,53.00,52.00,52.00,52.00,0.55,0.55,

-25,-20,52.00,52.00,51.00,52.00,0.55,0.55,

-26,-20,52.00,52.00,52.00,52.00,0.00,0.00,

-27,-20,50.00,51.00,49.00,50.00,1.13,0.00,

-28,-20,51.00,52.00,51.00,51.00,0.56,-0.56,

-29,-20,52.00,52.00,51.00,52.00,0.55,0.55,

-30,-20,52.00,51.00,51.00,55.00,-1.62,2.68,

-30,-19,59.00,51.00,50.00,53.00,3.64,5.61,

-29,-19,51.00,52.00,52.00,53.00,-1.09,0.00,

-28,-19,52.00,52.00,51.00,52.00,0.55,0.55,

-27,-19,52.00,52.00,52.00,52.00,0.00,0.00,

-26,-19,52.00,53.00,52.00,52.00,0.55,-0.55,

-25,-19,52.00,52.00,52.00,51.00,0.55,-0.55,

-24,-19,53.00,50.00,50.00,50.00,1.67,1.67,

-23,-19,52.00,52.00,51.00,51.00,1.10,0.00,

-22,-19,52.00,52.00,51.00,52.00,0.55,0.55,

-21,-19,49.00,51.00,51.00,51.00,-1.12,-1.12,

-20,-19,52.00,52.00,52.00,51.00,0.55,-0.55,

-19,-19,52.00,52.00,51.00,52.00,0.55,0.55,

-18,-19,52.00,52.00,51.00,52.00,0.55,0.55,

-17,-19,54.00,52.00,52.00,52.00,1.08,1.08,

-16,-19,45.00,52.00,52.00,52.00,-3.85,-3.85,

-15,-19,53.00,52.00,52.00,50.00,1.64,-0.55,

-14,-19,52.00,52.00,51.00,51.00,1.10,0.00,

-13,-19,51.00,52.00,51.00,52.00,0.00,0.00,

-12,-19,51.00,51.00,51.00,51.00,0.00,0.00,

-11,-19,54.00,53.00,52.00,51.00,2.14,0.00,

-10,-19,45.00,53.00,52.00,52.00,-3.30,-4.36,

-9,-19,52.00,52.00,51.00,52.00,0.55,0.55,

-8,-19,53.00,52.00,51.00,52.00,1.09,1.09,

-7,-19,52.00,52.00,51.00,52.00,0.55,0.55,

-6,-19,52.00,52.00,50.00,52.00,1.10,1.10,

-5,-19,52.00,52.00,51.00,51.00,1.10,0.00,

-4,-19,51.00,52.00,51.00,51.00,0.56,-0.56,

-3,-19,50.00,51.00,51.00,51.00,-0.56,-0.56,

-2,-19,46.00,51.00,51.00,52.00,-3.33,-2.25,

-1,-19,42.00,52.00,49.00,50.00,-2.89,-5.09,

0,-19,63.00,52.00,51.00,52.00,5.96,5.96,

1,-19,52.00,52.00,51.00,52.00,0.55,0.55,

2,-19,52.00,53.00,51.00,53.00,0.55,0.55,

3,-19,55.00,51.00,53.00,51.00,1.08,1.08,

4,-19,52.00,52.00,51.00,51.00,1.10,0.00,

5,-19,52.00,51.00,51.00,52.00,0.00,1.10,

6,-19,51.00,51.00,50.00,51.00,0.56,0.56,

7,-19,52.00,51.00,50.00,51.00,1.11,1.11,

8,-19,52.00,52.00,49.00,52.00,1.65,1.65,

9,-19,52.00,52.00,51.00,52.00,0.55,0.55,

10,-19,52.00,52.00,52.00,52.00,0.00,0.00,

11,-19,53.00,53.00,52.00,53.00,0.54,0.54,

12,-19,52.00,53.00,52.00,52.00,0.55,-0.55,

13,-19,55.00,53.00,51.00,53.00,2.12,2.12,

14,-19,52.00,52.00,52.00,52.00,0.00,0.00,

15,-19,44.00,52.00,52.00,52.00,-4.40,-4.40,

16,-19,52.00,52.00,51.00,52.00,0.55,0.55,

17,-19,53.00,52.00,52.00,51.00,1.09,0.00,

18,-19,53.00,52.00,52.00,53.00,0.00,1.08,

19,-19,53.00,52.00,52.00,52.00,0.55,0.55,

20,-19,53.00,53.00,52.00,52.00,1.08,0.00,

21,-19,53.00,53.00,52.00,52.00,1.08,0.00,

22,-19,53.00,52.00,52.00,53.00,0.00,1.08,

23,-19,53.00,52.00,51.00,52.00,1.09,1.09,

24,-19,53.00,52.00,51.00,52.00,1.09,1.09,

25,-19,51.00,52.00,51.00,51.00,0.56,-0.56,

26,-19,54.00,52.00,50.00,52.00,2.16,2.16,

27,-19,53.00,51.00,53.00,52.00,-0.55,0.55,

28,-19,52.00,53.00,51.00,52.00,1.09,0.00,

29,-19,52.00,52.00,51.00,52.00,0.55,0.55,

29,-18,53.00,53.00,52.00,52.00,1.08,0.00,

28,-18,49.00,53.00,52.00,53.00,-1.64,-1.64,

27,-18,53.00,53.00,52.00,52.00,1.08,0.00,

26,-18,52.00,52.00,51.00,52.00,0.55,0.55,

25,-18,52.00,52.00,51.00,52.00,0.55,0.55,

24,-18,52.00,52.00,51.00,51.00,1.10,0.00,

23,-18,44.00,52.00,51.00,53.00,-4.40,-3.33,

22,-18,58.00,52.00,52.00,52.00,3.12,3.12,

21,-18,55.00,53.00,51.00,52.00,2.65,1.61,

20,-18,53.00,52.00,52.00,52.00,0.55,0.55,

19,-18,54.00,53.00,52.00,52.00,1.61,0.54,

18,-18,50.00,51.00,51.00,52.00,-1.11,0.00,

17,-18,52.00,52.00,51.00,52.00,0.55,0.55,

16,-18,52.00,52.00,51.00,51.00,1.10,0.00,

15,-18,52.00,52.00,51.00,51.00,1.10,0.00,

14,-18,50.00,52.00,50.00,52.00,0.00,0.00,

13,-18,52.00,52.00,52.00,52.00,0.00,0.00,

12,-18,52.00,53.00,51.00,52.00,1.09,0.00,

11,-18,52.00,52.00,52.00,52.00,0.00,0.00,

10,-18,52.00,52.00,51.00,52.00,0.55,0.55,

9,-18,53.00,52.00,53.00,52.00,0.00,0.00,

8,-18,52.00,52.00,51.00,52.00,0.55,0.55,

7,-18,52.00,52.00,51.00,51.00,1.10,0.00,

6,-18,52.00,52.00,50.00,51.00,1.65,0.56,

5,-18,54.00,53.00,52.00,51.00,2.14,0.00,

4,-18,55.00,50.00,49.00,52.00,2.18,4.28,

3,-18,53.00,52.00,52.00,52.00,0.55,0.55,

2,-18,52.00,52.00,52.00,52.00,0.00,0.00,

1,-18,53.00,53.00,52.00,52.00,1.08,0.00,

0,-18,55.00,50.00,53.00,52.00,0.00,2.14,

-1,-18,53.00,52.00,52.00,51.00,1.09,0.00,

-2,-18,52.00,52.00,51.00,52.00,0.55,0.55,

-3,-18,52.00,52.00,51.00,51.00,1.10,0.00,

-4,-18,52.00,51.00,51.00,52.00,0.00,1.10,

-5,-18,49.00,51.00,52.00,52.00,-2.20,-1.11,

-6,-18,53.00,53.00,52.00,52.00,1.08,0.00,

-7,-18,53.00,52.00,51.00,52.00,1.09,1.09,

-8,-18,54.00,52.00,52.00,52.00,1.08,1.08,

-9,-18,49.00,52.00,50.00,52.00,-0.56,-0.56,

-10,-18,50.00,54.00,52.00,53.00,-0.55,-1.62,

-11,-18,52.00,52.00,51.00,52.00,0.55,0.55,

-12,-18,52.00,52.00,51.00,52.00,0.55,0.55,

-13,-18,52.00,51.00,51.00,51.00,0.56,0.56,

-14,-18,55.00,52.00,51.00,52.00,2.14,2.14,

-15,-18,53.00,52.00,51.00,52.00,1.09,1.09,

-16,-18,52.00,52.00,51.00,52.00,0.55,0.55,

-17,-18,53.00,53.00,52.00,52.00,1.08,0.00,

-18,-18,53.00,53.00,51.00,52.00,1.62,0.55,

-19,-18,44.00,53.00,49.00,51.00,-1.72,-3.93,

-20,-18,52.00,52.00,52.00,52.00,0.00,0.00,

-21,-18,52.00,52.00,51.00,52.00,0.55,0.55,

-22,-18,52.00,52.00,51.00,52.00,0.55,0.55,

-23,-18,44.00,52.00,50.00,53.00,-3.89,-2.81,

-24,-18,51.00,51.00,52.00,51.00,-0.56,-0.56,

-25,-18,52.00,52.00,51.00,52.00,0.55,0.55,

-26,-18,52.00,52.00,52.00,52.00,0.00,0.00,

-27,-18,53.00,53.00,52.00,52.00,1.08,0.00,

-28,-18,52.00,54.00,49.00,53.00,2.16,1.09,

-29,-18,51.00,52.00,51.00,51.00,0.56,-0.56,

-30,-18,52.00,52.00,51.00,52.00,0.55,0.55,

-30,-17,50.00,52.00,51.00,52.00,-0.56,-0.56,

-29,-17,50.00,51.00,51.00,52.00,-1.11,0.00,

-28,-17,54.00,54.00,49.00,51.00,4.24,1.09,

-27,-17,52.00,52.00,52.00,52.00,0.00,0.00,

-26,-17,52.00,52.00,51.00,52.00,0.55,0.55,

-25,-17,53.00,53.00,52.00,52.00,1.08,0.00,

-24,-17,53.00,53.00,52.00,52.00,1.08,0.00,

-23,-17,47.00,51.00,49.00,52.00,-1.70,-0.57,

-22,-17,52.00,52.00,51.00,52.00,0.55,0.55,

-21,-17,52.00,52.00,52.00,52.00,0.00,0.00,

-20,-17,52.00,52.00,50.00,52.00,1.10,1.10,

-19,-17,51.00,52.00,51.00,51.00,0.56,-0.56,

-18,-17,48.00,52.00,53.00,52.00,-2.73,-2.73,

-17,-17,53.00,52.00,52.00,52.00,0.55,0.55,

-16,-17,52.00,52.00,51.00,52.00,0.55,0.55,

-15,-17,54.00,53.00,52.00,52.00,1.61,0.54,

-14,-17,51.00,53.00,52.00,53.00,-0.55,-0.55,

-13,-17,53.00,53.00,52.00,52.00,1.08,0.00,

-12,-17,52.00,52.00,51.00,52.00,0.55,0.55,

-11,-17,52.00,52.00,51.00,52.00,0.55,0.55,

-10,-17,52.00,52.00,51.00,52.00,0.55,0.55,

-9,-17,47.00,51.00,53.00,53.00,-4.32,-2.20,

-8,-17,53.00,52.00,51.00,52.00,1.09,1.09,

-7,-17,53.00,52.00,52.00,52.00,0.55,0.55,

-6,-17,53.00,52.00,52.00,52.00,0.55,0.55,

-5,-17,53.00,53.00,51.00,52.00,1.62,0.55,

-4,-17,47.00,51.00,49.00,52.00,-1.70,-0.57,

-3,-17,52.00,52.00,51.00,51.00,1.10,0.00,

-2,-17,52.00,52.00,51.00,51.00,1.10,0.00,

-1,-17,51.00,51.00,51.00,51.00,0.00,0.00,

0,-17,51.00,52.00,51.00,51.00,0.56,-0.56,

1,-17,45.00,52.00,52.00,52.00,-3.85,-3.85,

2,-17,52.00,52.00,52.00,52.00,0.00,0.00,

3,-17,53.00,52.00,51.00,52.00,1.09,1.09,

4,-17,54.00,52.00,52.00,52.00,1.08,1.08,

5,-17,53.00,53.00,52.00,52.00,1.08,0.00,

6,-17,55.00,51.00,53.00,51.00,1.08,1.08,

7,-17,52.00,52.00,51.00,52.00,0.55,0.55,

8,-17,52.00,52.00,51.00,52.00,0.55,0.55,

9,-17,52.00,51.00,51.00,51.00,0.56,0.56,

10,-17,40.00,51.00,53.00,52.00,-7.59,-6.58,

11,-17,44.00,50.00,53.00,52.00,-5.98,-3.89,

12,-17,52.00,52.00,51.00,52.00,0.55,0.55,

13,-17,52.00,52.00,52.00,52.00,0.00,0.00,

14,-17,53.00,52.00,52.00,52.00,0.55,0.55,

15,-17,56.00,52.00,53.00,53.00,1.06,2.10,

16,-17,54.00,52.00,51.00,51.00,2.16,1.09,

17,-17,52.00,52.00,51.00,51.00,1.10,0.00,

18,-17,51.00,51.00,51.00,52.00,-0.56,0.56,

19,-17,51.00,52.00,51.00,51.00,0.56,-0.56,

20,-17,54.00,51.00,52.00,50.00,1.64,0.55,

21,-17,55.00,52.00,52.00,52.00,1.61,1.61,

22,-17,52.00,52.00,51.00,52.00,0.55,0.55,

23,-17,52.00,52.00,51.00,52.00,0.55,0.55,

24,-17,53.00,53.00,52.00,52.00,1.08,0.00,

25,-17,50.00,54.00,53.00,50.00,0.55,-3.74,

26,-17,52.00,52.00,51.00,51.00,1.10,0.00,

27,-17,52.00,52.00,51.00,52.00,0.55,0.55,

28,-17,50.00,51.00,51.00,51.00,-0.56,-0.56,

29,-17,47.00,53.00,53.00,53.00,-3.24,-3.24,

29,-16,66.00,50.00,52.00,51.00,6.39,7.31,

28,-16,52.00,52.00,51.00,52.00,0.55,0.55,

27,-16,52.00,52.00,52.00,52.00,0.00,0.00,

26,-16,53.00,52.00,52.00,52.00,0.55,0.55,

25,-16,42.00,53.00,52.00,50.00,-3.93,-7.06,

24,-16,53.00,52.00,51.00,52.00,1.09,1.09,

23,-16,52.00,52.00,51.00,52.00,0.55,0.55,

22,-16,51.00,51.00,51.00,51.00,0.00,0.00,

21,-16,51.00,51.00,50.00,51.00,0.56,0.56,

20,-16,49.00,53.00,51.00,51.00,0.00,-2.20,

19,-16,52.00,52.00,51.00,52.00,0.55,0.55,

18,-16,52.00,52.00,51.00,52.00,0.55,0.55,

17,-16,54.00,53.00,52.00,52.00,1.61,0.54,

16,-16,55.00,52.00,53.00,52.00,1.07,1.07,

15,-16,53.00,53.00,51.00,51.00,2.16,0.00,

14,-16,52.00,51.00,51.00,52.00,0.00,1.10,

13,-16,52.00,52.00,51.00,51.00,1.10,0.00,

12,-16,52.00,52.00,51.00,51.00,1.10,0.00,

11,-16,56.00,53.00,52.00,52.00,2.63,1.59,

10,-16,49.00,52.00,50.00,52.00,-0.56,-0.56,

9,-16,52.00,52.00,51.00,52.00,0.55,0.55,

8,-16,53.00,52.00,51.00,52.00,1.09,1.09,

7,-16,52.00,53.00,52.00,51.00,1.09,-1.09,

6,-16,48.00,50.00,52.00,50.00,-2.25,-2.25,

5,-16,52.00,52.00,52.00,52.00,0.00,0.00,

4,-16,52.00,52.00,51.00,52.00,0.55,0.55,

3,-16,51.00,51.00,50.00,51.00,0.56,0.56,

2,-16,44.00,50.00,52.00,50.00,-4.48,-4.48,

1,-16,54.00,52.00,50.00,52.00,2.16,2.16,

0,-16,53.00,52.00,51.00,52.00,1.09,1.09,

-1,-16,53.00,52.00,51.00,52.00,1.09,1.09,

