Input_angles1, Input_angles2, Calc_angles1,Calc_angles2, Voltage1,Voltage2,Voltage3,Voltage4,Calc_angles
0,0,0,0,0,0,0,0,                                                                                                                                 29,-30,55.00,55.00,49.00,46.00,7.77,-1.65,

-15,-26,52.00,52.00,51.00,52.00,0.55,0.55,

-16,-26,52.00,52.00,51.00,52.00,0.55,0.55,

-17,-26,52.00,51.00,51.00,51.00,0.56,0.56,

-18,-26,50.00,51.00,53.00,51.00,-1.65,-1.65,

-19,-26,53.00,53.00,52.00,52.00,1.08,0.00,

-20,-26,53.00,52.00,52.00,52.00,0.55,0.55,

-21,-26,53.00,53.00,52.00,53.00,0.54,0.54,

-22,-26,53.00,53.00,52.00,53.00,0.54,0.54,

-23,-26,55.00,53.00,51.00,51.00,3.18,1.08,

-24,-26,52.00,52.00,52.00,52.00,0.00,0.00,

-25,-26,36.00,52.00,51.00,52.00,-8.29,-8.29,

-26,-26,52.00,52.00,51.00,51.00,1.10,0.00,

-27,-26,55.00,53.00,51.00,53.00,2.12,2.12,

-28,-26,56.00,52.00,49.00,53.00,3.18,4.20,

-29,-26,53.00,52.00,52.00,52.00,0.55,0.55,

-30,-26,53.00,52.00,52.00,52.00,0.55,0.55,

-30,-25,53.00,40.00,52.00,52.00,-6.04,7.06,

-29,-25,55.00,51.00,53.00,53.00,0.00,2.12,

-28,-25,52.00,52.00,51.00,51.00,1.10,0.00,

-27,-25,52.00,52.00,51.00,52.00,0.55,0.55,

-26,-25,50.00,52.00,51.00,51.00,0.00,-1.11,

-25,-25,52.00,52.00,51.00,52.00,0.55,0.55,

-24,-25,43.00,50.00,52.00,52.00,-6.04,-3.93,

-23,-25,53.00,52.00,52.00,52.00,0.55,0.55,

-22,-25,53.00,52.00,51.00,52.00,1.09,1.09,

-21,-25,53.00,53.00,52.00,52.00,1.08,0.00,

-20,-25,51.00,52.00,51.00,50.00,1.11,-1.11,

-19,-25,55.00,52.00,51.00,52.00,2.14,2.14,

-18,-25,52.00,53.00,51.00,52.00,1.09,0.00,

-17,-25,51.00,52.00,51.00,52.00,0.00,0.00,

-16,-25,52.00,52.00,51.00,52.00,0.55,0.55,

-15,-25,47.00,50.00,51.00,52.00,-3.33,-1.13,

-14,-25,53.00,52.00,52.00,52.00,0.55,0.55,

-13,-25,53.00,52.00,52.00,52.00,0.55,0.55,

-12,-25,53.00,53.00,52.00,52.00,1.08,0.00,

-11,-25,55.00,53.00,52.00,53.00,1.59,1.59,

-10,-25,56.00,52.00,52.00,51.00,2.65,1.61,

-9,-25,52.00,52.00,52.00,52.00,0.00,0.00,

-8,-25,52.00,55.00,52.00,52.00,1.61,-1.61,

-7,-25,52.00,52.00,51.00,52.00,0.55,0.55,

-6,-25,54.00,54.00,52.00,52.00,2.12,0.00,

-5,-25,53.00,53.00,52.00,52.00,1.08,0.00,

-4,-25,53.00,52.00,52.00,52.00,0.55,0.55,

-3,-25,53.00,53.00,52.00,53.00,0.54,0.54,

-2,-25,50.00,53.00,51.00,51.00,0.56,-1.65,

-1,-25,53.00,51.00,53.00,53.00,-1.08,1.08,

0,-25,52.00,52.00,51.00,52.00,0.55,0.55,

1,-25,52.00,52.00,51.00,52.00,0.55,0.55,

2,-25,52.00,52.00,51.00,51.00,1.10,0.00,

3,-25,42.00,52.00,53.00,51.00,-5.49,-6.52,

4,-25,52.00,52.00,52.00,53.00,-0.55,0.55,

5,-25,57.00,52.00,51.00,52.00,3.15,3.15,

6,-25,54.00,52.00,52.00,52.00,1.08,1.08,

7,-25,55.00,52.00,52.00,53.00,1.07,2.12,

8,-25,54.00,53.00,50.00,53.00,2.14,2.14,

9,-25,52.00,52.00,51.00,52.00,0.55,0.55,

10,-25,52.00,52.00,51.00,52.00,0.55,0.55,

11,-25,52.00,52.00,51.00,52.00,0.55,0.55,

12,-25,51.00,52.00,52.00,53.00,-1.09,0.00,

13,-25,53.00,53.00,52.00,52.00,1.08,0.00,

14,-25,53.00,52.00,52.00,52.00,0.55,0.55,

15,-25,53.00,53.00,52.00,53.00,0.54,0.54,

16,-25,51.00,52.00,51.00,51.00,0.56,-0.56,

17,-25,46.00,53.00,50.00,51.00,-1.13,-3.33,

18,-25,52.00,52.00,52.00,52.00,0.00,0.00,

19,-25,52.00,52.00,51.00,52.00,0.55,0.55,

20,-25,52.00,52.00,51.00,52.00,0.55,0.55,

21,-25,45.00,51.00,53.00,52.00,-4.90,-3.85,

22,-25,53.00,53.00,52.00,52.00,1.08,0.00,

23,-25,53.00,53.00,52.00,52.00,1.08,0.00,

24,-25,53.00,53.00,52.00,53.00,0.54,0.54,

25,-25,55.00,53.00,49.00,53.00,3.18,3.18,

26,-25,52.00,52.00,52.00,53.00,-0.55,0.55,

27,-25,52.00,52.00,51.00,52.00,0.55,0.55,

28,-25,51.00,52.00,51.00,51.00,0.56,-0.56,

29,-25,52.00,51.00,51.00,51.00,0.56,0.56,

29,-24,51.00,61.00,50.00,53.00,4.59,-3.61,

28,-24,53.00,52.00,52.00,52.00,0.55,0.55,

27,-24,52.00,53.00,51.00,52.00,1.09,0.00,

26,-24,53.00,53.00,52.00,52.00,1.08,0.00,

25,-24,56.00,53.00,52.00,53.00,2.10,2.10,

24,-24,48.00,51.00,52.00,54.00,-3.78,-0.56,

23,-24,53.00,52.00,52.00,52.00,0.55,0.55,

22,-24,52.00,51.00,51.00,52.00,0.00,1.10,

21,-24,52.00,53.00,52.00,52.00,0.55,-0.55,

